name,steam_app_id,store_url
Artifact,583950,https://store.steampowered.com/app/583950/
Back 4 Blood,924970,https://store.steampowered.com/app/924970/
Babylon's Fall,889750,https://store.steampowered.com/app/889750/
BALAN WONDERWORLD,1341050,https://store.steampowered.com/app/1341050/
Battleborn,394230,https://store.steampowered.com/app/394230/
BRINK,22350,https://store.steampowered.com/app/22350/
Concord™,2443720,https://store.steampowered.com/app/2443720/
Cyberpunk 2077,1091500,https://store.steampowered.com/app/1091500/
Fallout 76,1151340,https://store.steampowered.com/app/1151340/
Highguard,4128260,https://store.steampowered.com/app/4128260/
LawBreakers,350280,https://store.steampowered.com/app/350280/
Marvel's Avengers - The Definitive Edition,997070,https://store.steampowered.com/app/997070/
No Man's Sky,275850,https://store.steampowered.com/app/275850/
Overwatch® 2,2357570,https://store.steampowered.com/app/2357570/
OVERKILL's The Walking Dead,717690,https://store.steampowered.com/app/717690/
PAYDAY 3,1272080,https://store.steampowered.com/app/1272080/
Redfall,1294810,https://store.steampowered.com/app/1294810/
Skull and Bones,2853730,https://store.steampowered.com/app/2853730/
Suicide Squad: Kill the Justice League,315210,https://store.steampowered.com/app/315210/
The Callisto Protocol™,1544020,https://store.steampowered.com/app/1544020/
The Day Before,1372880,https://store.steampowered.com/app/1372880/
The Lord of the Rings: Gollum™,1265780,https://store.steampowered.com/app/1265780/
